Category,Frequency,Proportion (%)
ABE,298,0.081212187
ABI,187,0.05096201
ABQ,965,0.262985774
ABR,58,0.015806399
ABY,90,0.024527171
ACK,11,0.002997765
ACT,90,0.024527171
ACV,66,0.017986592
ACY,161,0.043876383
ADK,8,0.002180193
ADQ,40,0.010900965
AEX,241,0.065678313
AGS,294,0.080122091
ALB,442,0.12045566
ALO,28,0.007630675
ALS,51,0.01389873
AMA,264,0.071946367
ANC,890,0.242546465
APN,51,0.01389873
ASE,550,0.149888265
ATL,23011,6.271052488
ATW,329,0.089660435
ATY,49,0.013353682
AUS,2653,0.723006486
AVL,473,0.128903908
AVP,108,0.029432605
AZA,442,0.12045566
AZO,119,0.03243037
BDL,1095,0.29841391
BET,47,0.012808634
BFF,53,0.014443778
BFL,176,0.047964245
BGM,30,0.008175724
BGR,133,0.036245708
BHM,895,0.243909086
BIL,360,0.098108683
BIS,335,0.09129558
BJI,60,0.016351447
BLI,45,0.012263585
BLV,72,0.019621737
BMI,170,0.0463291
BNA,4398,1.198561073
BOI,1386,0.377718428
BOS,4604,1.254701041
BPT,77,0.020984357
BQK,90,0.024527171
BRD,51,0.01389873
BRO,142,0.038698425
BRW,30,0.008175724
BTM,58,0.015806399
BTR,334,0.091023056
BTV,247,0.067313457
BUF,802,0.218564343
BUR,925,0.25208481
BWI,5043,1.374339129
BZN,610,0.166239712
CAE,354,0.096473538
CAK,138,0.037608328
CDB,16,0.004360386
CDC,51,0.01389873
CDV,52,0.014171254
CGI,52,0.014171254
CHA,398,0.108464599
CHO,116,0.031612798
CHS,1265,0.34474301
CID,494,0.134626914
CIU,59,0.016078923
CKB,62,0.016896495
CLE,2077,0.566032594
CLL,105,0.028615032
CLT,13522,3.685071129
CMH,1853,0.504987191
CMI,88,0.023982122
CMX,59,0.016078923
CNY,29,0.007903199
COD,47,0.012808634
COS,612,0.16678476
COU,59,0.016078923
CPR,170,0.0463291
CRP,237,0.064588216
CRW,197,0.053687251
CSG,99,0.026979888
CVG,2103,0.573118221
CWA,113,0.030795225
CYS,31,0.008448248
DAB,271,0.073854036
DAL,3502,0.954379463
DAY,462,0.125906143
DCA,2613,0.712105521
DDC,53,0.014443778
DEC,52,0.014171254
DEN,17998,4.904889083
DFW,19479,5.308497302
DHN,101,0.027524936
DIK,30,0.008175724
DLH,119,0.03243037
DRO,279,0.076034229
DSM,862,0.23491579
DTW,9320,2.539924783
DVL,52,0.014171254
EAR,58,0.015806399
EAU,61,0.016623971
ECP,504,0.137352156
EGE,300,0.081757236
EKO,56,0.015261351
ELM,77,0.020984357
ELP,788,0.214749005
ERI,58,0.015806399
ESC,52,0.014171254
EUG,450,0.122635853
EVV,212,0.057775113
EWN,98,0.026707364
EWR,5066,1.380607184
EYW,683,0.186133973
FAI,93,0.025344743
