Category,Frequency,Proportion (%)
"Aberdeen, SD",58,0.015806399
"Abilene, TX",187,0.05096201
"Adak Island, AK",8,0.002180193
"Akron, OH",138,0.037608328
"Alamosa, CO",51,0.01389873
"Albany, GA",90,0.024527171
"Albany, NY",442,0.12045566
"Albuquerque, NM",965,0.262985774
"Alexandria, LA",241,0.065678313
"Allentown/Bethlehem/Easton, PA",298,0.081212187
"Alpena, MI",51,0.01389873
"Amarillo, TX",264,0.071946367
"Anchorage, AK",890,0.242546465
"Appleton, WI",329,0.089660435
"Arcata/Eureka, CA",66,0.017986592
"Asheville, NC",473,0.128903908
"Ashland, WV",36,0.009810868
"Aspen, CO",550,0.149888265
"Atlanta, GA",23011,6.271052488
"Atlantic City, NJ",161,0.043876383
"Augusta, GA",294,0.080122091
"Austin, TX",2653,0.723006486
"Bakersfield, CA",176,0.047964245
"Baltimore, MD",5043,1.374339129
"Bangor, ME",133,0.036245708
"Barrow, AK",30,0.008175724
"Baton Rouge, LA",334,0.091023056
"Beaumont/Port Arthur, TX",77,0.020984357
"Belleville, IL",72,0.019621737
"Bellingham, WA",45,0.012263585
"Bemidji, MN",60,0.016351447
"Bend/Redmond, OR",375,0.102196544
"Bethel, AK",47,0.012808634
"Billings, MT",360,0.098108683
"Binghamton, NY",30,0.008175724
"Birmingham, AL",895,0.243909086
"Bismarck/Mandan, ND",335,0.09129558
"Bloomington/Normal, IL",170,0.0463291
"Boise, ID",1386,0.377718428
"Boston, MA",4604,1.254701041
"Bozeman, MT",610,0.166239712
"Brainerd, MN",51,0.01389873
"Bristol/Johnson City/Kingsport, TN",161,0.043876383
"Brownsville, TX",142,0.038698425
"Brunswick, GA",90,0.024527171
"Buffalo, NY",802,0.218564343
"Burbank, CA",925,0.25208481
"Burlington, VT",247,0.067313457
"Butte, MT",58,0.015806399
"Cape Girardeau, MO",52,0.014171254
"Casper, WY",170,0.0463291
"Cedar City, UT",51,0.01389873
"Cedar Rapids/Iowa City, IA",494,0.134626914
"Champaign/Urbana, IL",88,0.023982122
"Charleston, SC",1265,0.34474301
"Charleston/Dunbar, WV",197,0.053687251
"Charlotte Amalie, VI",449,0.122363329
"Charlotte, NC",13522,3.685071129
"Charlottesville, VA",116,0.031612798
"Chattanooga, TN",398,0.108464599
"Cheyenne, WY",31,0.008448248
"Chicago, IL",16568,4.515179593
"Christiansted, VI",114,0.031067749
"Cincinnati, OH",2103,0.573118221
"Clarksburg/Fairmont, WV",62,0.016896495
"Cleveland, OH",2077,0.566032594
"Cody, WY",47,0.012808634
"Cold Bay, AK",16,0.004360386
"College Station/Bryan, TX",105,0.028615032
"Colorado Springs, CO",612,0.16678476
