Category,Frequency,Proportion (%)
ABE,301,0.08202976
ABI,191,0.052052107
ABQ,960,0.261623154
ABR,60,0.016351447
ABY,90,0.024527171
ACK,11,0.002997765
ACT,90,0.024527171
ACV,68,0.01853164
ACY,163,0.044421431
ADK,7,0.001907669
ADQ,40,0.010900965
AEX,244,0.066495885
AGS,295,0.080394615
ALB,444,0.121000709
ALO,28,0.007630675
ALS,51,0.01389873
AMA,265,0.072218891
ANC,893,0.243364038
APN,52,0.014171254
ASE,568,0.154793699
ATL,22971,6.260151523
ATW,329,0.089660435
ATY,49,0.013353682
AUS,2654,0.72327901
AVL,476,0.12972148
AVP,108,0.029432605
AZA,438,0.119365564
AZO,121,0.032975418
BDL,1093,0.297868861
BET,47,0.012808634
BFF,53,0.014443778
BFL,176,0.047964245
BGM,31,0.008448248
BGR,133,0.036245708
BHM,896,0.24418161
BIL,363,0.098926255
BIS,335,0.09129558
BJI,60,0.016351447
BLI,45,0.012263585
BLV,72,0.019621737
BMI,169,0.046056576
BNA,4397,1.198288549
BOI,1394,0.379898621
BOS,4598,1.253065896
BPT,78,0.021256881
BQK,90,0.024527171
BRD,51,0.01389873
BRO,143,0.038970949
BRW,30,0.008175724
BTM,57,0.015533875
BTR,337,0.091840628
BTV,247,0.067313457
BUF,799,0.217746771
BUR,926,0.252357334
BWI,5050,1.376246798
BZN,611,0.166512236
CAE,353,0.096201014
CAK,138,0.037608328
CDB,16,0.004360386
CDC,53,0.014443778
CDV,54,0.014716302
CGI,52,0.014171254
CHA,399,0.108737123
CHO,118,0.032157846
CHS,1264,0.344470486
CID,493,0.13435439
CIU,60,0.016351447
CKB,62,0.016896495
CLE,2072,0.564669973
CLL,108,0.029432605
CLT,13517,3.683708508
CMH,1852,0.504714667
CMI,88,0.023982122
CMX,60,0.016351447
CNY,29,0.007903199
COD,47,0.012808634
COS,612,0.16678476
COU,59,0.016078923
CPR,171,0.046601624
CRP,238,0.06486074
CRW,197,0.053687251
CSG,100,0.027252412
CVG,2104,0.573390745
CWA,114,0.031067749
CYS,31,0.008448248
DAB,270,0.073581512
DAL,3511,0.95683218
DAY,461,0.125633619
DCA,2608,0.710742901
DDC,53,0.014443778
DEC,53,0.014443778
DEN,17971,4.897530931
DFW,19468,5.305499537
DHN,102,0.02779746
DIK,30,0.008175724
DLH,117,0.031885322
DRO,282,0.076851801
DSM,863,0.235188314
DTW,9326,2.541559928
