Category,Frequency,Proportion (%)
"Aberdeen, SD",60,0.016351447
"Abilene, TX",191,0.052052107
"Adak Island, AK",7,0.001907669
"Akron, OH",138,0.037608328
"Alamosa, CO",51,0.01389873
"Albany, GA",90,0.024527171
"Albany, NY",444,0.121000709
"Albuquerque, NM",960,0.261623154
"Alexandria, LA",244,0.066495885
"Allentown/Bethlehem/Easton, PA",301,0.08202976
"Alpena, MI",52,0.014171254
"Amarillo, TX",265,0.072218891
"Anchorage, AK",893,0.243364038
"Appleton, WI",329,0.089660435
"Arcata/Eureka, CA",68,0.01853164
"Asheville, NC",476,0.12972148
"Ashland, WV",36,0.009810868
"Aspen, CO",568,0.154793699
"Atlanta, GA",22971,6.260151523
"Atlantic City, NJ",163,0.044421431
"Augusta, GA",295,0.080394615
"Austin, TX",2654,0.72327901
"Bakersfield, CA",176,0.047964245
"Baltimore, MD",5050,1.376246798
"Bangor, ME",133,0.036245708
"Barrow, AK",30,0.008175724
"Baton Rouge, LA",337,0.091840628
"Beaumont/Port Arthur, TX",78,0.021256881
"Belleville, IL",72,0.019621737
"Bellingham, WA",45,0.012263585
"Bemidji, MN",60,0.016351447
"Bend/Redmond, OR",376,0.102469069
"Bethel, AK",47,0.012808634
"Billings, MT",363,0.098926255
"Binghamton, NY",31,0.008448248
"Birmingham, AL",896,0.24418161
"Bismarck/Mandan, ND",335,0.09129558
"Bloomington/Normal, IL",169,0.046056576
"Boise, ID",1394,0.379898621
"Boston, MA",4598,1.253065896
"Bozeman, MT",611,0.166512236
"Brainerd, MN",51,0.01389873
"Bristol/Johnson City/Kingsport, TN",164,0.044693955
"Brownsville, TX",143,0.038970949
"Brunswick, GA",90,0.024527171
"Buffalo, NY",799,0.217746771
"Burbank, CA",926,0.252357334
"Burlington, VT",247,0.067313457
"Butte, MT",57,0.015533875
"Cape Girardeau, MO",52,0.014171254
"Casper, WY",171,0.046601624
"Cedar City, UT",53,0.014443778
"Cedar Rapids/Iowa City, IA",493,0.13435439
"Champaign/Urbana, IL",88,0.023982122
"Charleston, SC",1264,0.344470486
"Charleston/Dunbar, WV",197,0.053687251
"Charlotte Amalie, VI",444,0.121000709
"Charlotte, NC",13517,3.683708508
"Charlottesville, VA",118,0.032157846
"Chattanooga, TN",399,0.108737123
"Cheyenne, WY",31,0.008448248
"Chicago, IL",16575,4.517087262
"Christiansted, VI",114,0.031067749
"Cincinnati, OH",2104,0.573390745
"Clarksburg/Fairmont, WV",62,0.016896495
"Cleveland, OH",2072,0.564669973
"Cody, WY",47,0.012808634
"Cold Bay, AK",16,0.004360386
"College Station/Bryan, TX",108,0.029432605
"Colorado Springs, CO",612,0.16678476
"Columbia, MO",59,0.016078923
"Columbia, SC",353,0.096201014
"Columbus, GA",100,0.027252412
"Columbus, MS",87,0.023709598
"Columbus, OH",1926,0.524881452
"Concord, NC",81,0.022074454
"Cordova, AK",54,0.014716302
"Corpus Christi, TX",238,0.06486074
"Dallas, TX",3511,0.95683218
"Dallas/Fort Worth, TX",19468,5.305499537
"Dayton, OH",461,0.125633619
"Daytona Beach, FL",270,0.073581512
"Deadhorse, AK",41,0.011173489
"Decatur, IL",53,0.014443778
"Denver, CO",17971,4.897530931
"Des Moines, IA",863,0.235188314
"Detroit, MI",9326,2.541559928
"Devils Lake, ND",52,0.014171254
"Dickinson, ND",30,0.008175724
"Dodge City, KS",53,0.014443778
"Dothan, AL",102,0.02779746
"Duluth, MN",117,0.031885322
"Durango, CO",282,0.076851801
"Eagle, CO",303,0.082574808
"Eau Claire, WI",60,0.016351447
"El Paso, TX",788,0.214749005
"Elko, NV",56,0.015261351
"Elmira/Corning, NY",77,0.020984357
"Erie, PA",59,0.016078923
"Escanaba, MI",52,0.014171254
"Eugene, OR",450,0.122635853
"Evansville, IN",212,0.057775113
"Everett, WA",23,0.006268055
"Fairbanks, AK",94,0.025617267
"Fargo, ND",440,0.119910612
"Fayetteville, AR",515,0.140349921
"Fayetteville, NC",242,0.065950837
"Flagstaff, AZ",163,0.044421431
"Flint, MI",190,0.051779582
"Fort Lauderdale, FL",6072,1.654766447
"Fort Myers, FL",3194,0.870442034
"Fort Smith, AR",88,0.023982122
"Fort Wayne, IN",394,0.107374503
"Fresno, CA",674,0.183681256
"Gainesville, FL",257,0.070038698
"Garden City, KS",57,0.015533875
"Gillette, WY",55,0.014988827
"Grand Forks, ND",97,0.026434839
"Grand Island, NE",77,0.020984357
"Grand Junction, CO",378,0.103014117
"Grand Rapids, MI",1022,0.278519649
"Great Falls, MT",207,0.056412493
"Green Bay, WI",309,0.084209953
"Greensboro/High Point, NC",438,0.119365564
"Greer, SC",766,0.208753475
"Guam, TT",44,0.011991061
"Gulfport/Biloxi, MS",278,0.075761705
"Gunnison, CO",82,0.022346978
"Hagerstown, MD",14,0.003815338
"Hancock/Houghton, MI",60,0.016351447
"Harlingen/San Benito, TX",201,0.054777348
"Harrisburg, PA",315,0.085845097
"Hartford, CT",1093,0.297868861
"Hattiesburg/Laurel, MS",53,0.014443778
"Hayden, CO",243,0.066223361
"Hays, KS",53,0.014443778
"Helena, MT",105,0.028615032
"Hibbing, MN",51,0.01389873
"Hilo, HI",323,0.08802529
"Hilton Head, SC",167,0.045511528
"Hobbs, NM",23,0.006268055
"Honolulu, HI",2685,0.731727258
"Houston, TX",10878,2.96451736
"Huntsville, AL",424,0.115550226
"Idaho Falls, ID",226,0.061590451
"Indianapolis, IN",2073,0.564942497
"International Falls, MN",52,0.014171254
"Iron Mountain/Kingsfd, MI",61,0.016623971
"Islip, NY",239,0.065133264
"Ithaca/Cortland, NY",31,0.008448248
"Jackson, WY",477,0.129994004
"Jackson/Vicksburg, MS",341,0.092930724
"Jacksonville, FL",1351,0.368180084
"Jacksonville/Camp Lejeune, NC",205,0.055867444
"Jamestown, ND",82,0.022346978
"Johnstown, PA",47,0.012808634
"Joplin, MO",61,0.016623971
"Juneau, AK",225,0.061317927
"Kahului, HI",1461,0.398157737
"Kalamazoo, MI",121,0.032975418
"Kalispell, MT",226,0.061590451
"Kansas City, MO",2229,0.60745626
"Kearney, NE",58,0.015806399
"Ketchikan, AK",111,0.030250177
"Key West, FL",680,0.185316401
"Killeen, TX",174,0.047419197
"Knoxville, TN",677,0.184498828
"Kodiak, AK",40,0.010900965
"Kona, HI",831,0.226467542
"Kotzebue, AK",29,0.007903199
"La Crosse, WI",153,0.04169619
"Lafayette, LA",236,0.064315692
"Lake Charles, LA",11,0.002997765
"Lansing, MI",119,0.03243037
"Laramie, WY",50,0.013626206
"Laredo, TX",110,0.029977653
"Las Vegas, NV",8456,2.304463945
"Latrobe, PA",64,0.017441544
